label,Hemisphere,Region,PGS,Estimate_Score,Std_Error_Score,t_value_Score,p_value_Score,Significant_p_value_Score,Estimate_Interaction,Std_Error_Interaction,t_value_Interaction,p_value_Interaction,Significant_p_value_Interaction,Phenotype,Significant,Estimate_LMER,Sig_LMER
lh_caudalanteriorcingulate,left,caudal anterior cingulate,SCZ,-0.020337479,0.041068369,-0.495210294,0.620451685,not sig,0.000186168,0.000740315,0.251470817,0.801450122,not sig,CT,LMM_NOT_SIG,NA,NA
lh_caudalanteriorcingulate,left,caudal anterior cingulate,SUD,-0.044111847,0.041017599,-1.075437085,0.282179086,not sig,0.000885364,0.000743503,1.190800911,0.233731751,not sig,CT,LMM_NOT_SIG,NA,NA
lh_caudalmiddlefrontal,left,caudal middle frontal,ADHD,-0.053322563,0.036051146,-1.479080955,0.13911868,not sig,0.001024037,0.000650311,1.574688546,0.115328353,not sig,CT,LMM_NOT_SIG,NA,NA
lh_caudalmiddlefrontal,left,caudal middle frontal,ASD,-0.028545365,0.035775727,-0.797897564,0.424929937,not sig,0.000693147,0.000646442,1.072250291,0.283607627,not sig,CT,LMM_NOT_SIG,NA,NA
lh_caudalmiddlefrontal,left,caudal middle frontal,BIP,-0.015250177,0.035792233,-0.426075023,0.670053179,not sig,0.000263484,0.000646222,0.407730196,0.683471766,not sig,CT,LMM_NOT_SIG,NA,NA
lh_caudalmiddlefrontal,left,caudal middle frontal,MDD,-0.002913696,0.035840987,-0.081295077,0.935207289,not sig,0.000151208,0.000647629,0.233479063,0.815389426,not sig,CT,LMM_NOT_SIG,NA,NA
lh_caudalmiddlefrontal,left,caudal middle frontal,SCZ,-0.010449127,0.035932509,-0.290798691,0.771205286,not sig,0.000289836,0.000647749,0.447451209,0.654549309,not sig,CT,LMM_NOT_SIG,NA,NA
lh_caudalmiddlefrontal,left,caudal middle frontal,SUD,-0.033252535,0.035880338,-0.926762041,0.354050098,not sig,0.000292552,0.000650404,0.449801158,0.652853823,not sig,CT,LMM_NOT_SIG,NA,NA
lh_cuneus,left,cuneus,ADHD,0.011543042,0.03894462,0.296396308,0.766927444,not sig,-5.90E-05,0.000702481,-0.08395775,0.933090024,not sig,CT,LMM_NOT_SIG,NA,NA
lh_cuneus,left,cuneus,ASD,-0.016587467,0.03864172,-0.429263165,0.66773172,not sig,0.000507298,0.000698224,0.726554628,0.467498831,not sig,CT,LMM_NOT_SIG,NA,NA
lh_cuneus,left,cuneus,BIP,-0.029883624,0.038662227,-0.772941085,0.439557248,not sig,0.000570174,0.000698017,0.816847546,0.414015557,not sig,CT,LMM_NOT_SIG,NA,NA
lh_cuneus,left,cuneus,MDD,0.040314861,0.038718058,1.041241826,0.297763328,not sig,-0.000740655,0.000699597,-1.058688216,0.289741797,not sig,CT,LMM_NOT_SIG,NA,NA
lh_cuneus,left,cuneus,SCZ,-0.028205556,0.038812034,-0.726721944,0.467396308,not sig,0.000623915,0.000699639,0.891766855,0.372517911,not sig,CT,LMM_NOT_SIG,NA,NA
lh_cuneus,left,cuneus,SUD,-0.014420458,0.038764515,-0.372001512,0.709891724,not sig,0.000251236,0.000702659,0.357550401,0.720679802,not sig,CT,LMM_NOT_SIG,NA,NA
lh_entorhinal,left,entorhinal,ADHD,-0.064515339,0.039715649,-1.624431189,0.104283815,not sig,0.001202079,0.000716435,1.677861145,0.093374209,not sig,CT,LMM_NOT_SIG,NA,NA
lh_entorhinal,left,entorhinal,ASD,-0.013861977,0.039420029,-0.351648067,0.725102212,not sig,0.000273842,0.000712295,0.384450089,0.700644882,not sig,CT,LMM_NOT_SIG,NA,NA
lh_entorhinal,left,entorhinal,BIP,-0.018627914,0.039432306,-0.472402342,0.636639633,not sig,0.000335026,0.000711963,0.470566917,0.637950038,not sig,CT,LMM_NOT_SIG,NA,NA
lh_entorhinal,left,entorhinal,MDD,-0.033879703,0.03948392,-0.858063305,0.390857508,not sig,0.000574905,0.000713472,0.805784403,0.420367173,not sig,CT,LMM_NOT_SIG,NA,NA
lh_entorhinal,left,entorhinal,SCZ,0.003125084,0.039589233,0.078937732,0.937082151,not sig,-1.82E-05,0.000713685,-0.025504466,0.979652586,not sig,CT,LMM_NOT_SIG,NA,NA
lh_entorhinal,left,entorhinal,SUD,-0.04017518,0.039536748,-1.016147825,0.309558998,not sig,0.000869793,0.000716708,1.213594069,0.224902773,not sig,CT,LMM_NOT_SIG,NA,NA
lh_fusiform,left,fusiform,ADHD,-0.019370535,0.039166141,-0.494573502,0.62090121,not sig,0.000464223,0.000706508,0.65706713,0.511137753,not sig,CT,LMM_NOT_SIG,NA,NA
lh_fusiform,left,fusiform,ASD,0.019930794,0.038868091,0.51278037,0.608104963,not sig,-0.000149447,0.00070232,-0.212790917,0.831490049,not sig,CT,LMM_NOT_SIG,NA,NA
lh_fusiform,left,fusiform,BIP,0.013390465,0.038884334,0.344366583,0.730570616,not sig,-0.000146806,0.000702056,-0.209108209,0.834363767,not sig,CT,LMM_NOT_SIG,NA,NA
lh_fusiform,left,fusiform,MDD,0.067325704,0.038934496,1.729204448,0.083772511,not sig,-0.001353932,0.000703532,-1.924476419,0.054294894,not sig,CT,LMM_NOT_SIG,NA,NA
lh_fusiform,left,fusiform,SCZ,0.036769215,0.039038006,0.941882506,0.346252797,not sig,-0.000635018,0.000703736,-0.902351506,0.366870173,not sig,CT,LMM_NOT_SIG,NA,NA
lh_fusiform,left,fusiform,SUD,-0.036000974,0.038986807,-0.923414279,0.355791353,not sig,0.000481645,0.000706723,0.68151922,0.495543009,not sig,CT,LMM_NOT_SIG,NA,NA
lh_inferiorparietal,left,inferior parietal,ADHD,-0.051015241,0.034660699,-1.47184687,0.141062234,not sig,0.001129622,0.000625239,1.80670418,0.070808416,not sig,CT,LMM_NOT_SIG,NA,NA
lh_inferiorparietal,left,inferior parietal,ASD,-0.042314375,0.034402365,-1.229984474,0.218702919,not sig,0.00086167,0.000621628,1.386151784,0.165700561,not sig,CT,LMM_NOT_SIG,NA,NA
lh_inferiorparietal,left,inferior parietal,BIP,-0.023348935,0.034415696,-0.678438549,0.497493674,not sig,0.000394811,0.000621378,0.635380109,0.525180538,not sig,CT,LMM_NOT_SIG,NA,NA
lh_inferiorparietal,left,inferior parietal,MDD,0.015587778,0.034462221,0.452314971,0.651042092,not sig,-0.000275847,0.000622723,-0.442969729,0.65778763,not sig,CT,LMM_NOT_SIG,NA,NA
lh_inferiorparietal,left,inferior parietal,SCZ,0.007405993,0.034552207,0.214342099,0.83028029,not sig,-0.000143752,0.000622874,-0.230788158,0.817479381,not sig,CT,LMM_NOT_SIG,NA,NA
lh_inferiorparietal,left,inferior parietal,SUD,-0.068687574,0.034498977,-1.991003193,0.046480536,sig,0.0009272,0.000625375,1.482629532,0.138172866,not sig,CT,LMM_NOT_SIG,NA,NA
lh_inferiortemporal,left,inferior temporal,ADHD,-0.021479937,0.040206311,-0.534242919,0.593173479,not sig,0.000399491,0.000725259,0.5508252,0.581753507,not sig,CT,LMM_NOT_SIG,NA,NA
lh_inferiortemporal,left,inferior temporal,ASD,0.00216691,0.039896205,0.054313693,0.95668524,not sig,0.000196191,0.000720895,0.272149875,0.785506781,not sig,CT,LMM_NOT_SIG,NA,NA
lh_inferiortemporal,left,inferior temporal,BIP,-0.012224349,0.039915527,-0.306255489,0.759410127,not sig,0.000231539,0.000720663,0.321285536,0.747994016,not sig,CT,LMM_NOT_SIG,NA,NA
lh_inferiortemporal,left,inferior temporal,MDD,0.015966782,0.039966197,0.399507167,0.689519544,not sig,-0.000555909,0.000722165,-0.769780664,0.441430011,not sig,CT,LMM_NOT_SIG,NA,NA
lh_inferiortemporal,left,inferior temporal,SCZ,0.021919381,0.040071834,0.547002196,0.584377223,not sig,-0.000471563,0.000722364,-0.652806044,0.513881326,not sig,CT,LMM_NOT_SIG,NA,NA
lh_inferiortemporal,left,inferior temporal,SUD,-0.024359724,0.040021131,-0.608671569,0.542742155,not sig,0.000357732,0.000725459,0.493111034,0.621934135,not sig,CT,LMM_NOT_SIG,NA,NA
lh_isthmuscingulate,left,isthmus cingulate,ADHD,-0.042572528,0.04045857,-1.052249942,0.292684891,not sig,0.000824175,0.000729779,1.129347736,0.258751171,not sig,CT,LMM_NOT_SIG,NA,NA
lh_isthmuscingulate,left,isthmus cingulate,ASD,0.042543684,0.040143316,1.059794943,0.289237898,not sig,-0.000709873,0.000725355,-0.978656006,0.327749976,not sig,CT,LMM_NOT_SIG,NA,NA
lh_isthmuscingulate,left,isthmus cingulate,BIP,-0.045955934,0.040162809,-1.14424104,0.252523687,not sig,0.000729537,0.0007251,1.006120016,0.314357841,not sig,CT,LMM_NOT_SIG,NA,NA
lh_isthmuscingulate,left,isthmus cingulate,MDD,0.001696514,0.040223305,0.042177399,0.966357279,not sig,-0.00010935,0.000726787,-0.15045689,0.88040416,not sig,CT,LMM_NOT_SIG,NA,NA
lh_isthmuscingulate,left,isthmus cingulate,SCZ,0.011816629,0.040319836,0.293072345,0.769466855,not sig,-0.000226233,0.000726811,-0.31126725,0.755597462,not sig,CT,LMM_NOT_SIG,NA,NA
lh_isthmuscingulate,left,isthmus cingulate,SUD,-0.085227205,0.040262969,-2.116764029,0.03427988,sig,0.001298793,0.000729809,1.779634246,0.075135838,not sig,CT,LMM_NOT_SIG,NA,NA
lh_lateraloccipital,left,lateral occipital,ADHD,-0.015466857,0.03801692,-0.406841391,0.684124484,not sig,0.000565931,0.00068576,0.825260621,0.409223643,not sig,CT,LMM_NOT_SIG,NA,NA
lh_lateraloccipital,left,lateral occipital,ASD,0.021651073,0.037725191,0.573915521,0.56602497,not sig,-9.71E-05,0.000681665,-0.142452196,0.886722836,not sig,CT,LMM_NOT_SIG,NA,NA
lh_lateraloccipital,left,lateral occipital,BIP,-0.014468303,0.037747096,-0.383295789,0.701500461,not sig,0.000246579,0.000681507,0.361814431,0.717490707,not sig,CT,LMM_NOT_SIG,NA,NA
lh_lateraloccipital,left,lateral occipital,MDD,0.05362228,0.037798996,1.418616496,0.156010854,not sig,-0.000900224,0.000683001,-1.318043373,0.187489129,not sig,CT,LMM_NOT_SIG,NA,NA
lh_lateraloccipital,left,lateral occipital,SCZ,-0.003310179,0.03789506,-0.087351201,0.930392357,not sig,9.85E-05,0.000683119,0.144243215,0.885308417,not sig,CT,LMM_NOT_SIG,NA,NA
lh_lateraloccipital,left,lateral occipital,SUD,-0.019920617,0.037846276,-0.52635608,0.598640825,not sig,0.000244093,0.000686029,0.35580595,0.721985893,not sig,CT,LMM_NOT_SIG,NA,NA
lh_lateralorbitofrontal,left,lateral orbitofrontal,ADHD,-0.045946629,0.037907694,-1.212066056,0.225487096,not sig,0.001123288,0.000683838,1.642622774,0.100461006,not sig,CT,LMM_NOT_SIG,NA,NA
lh_lateralorbitofrontal,left,lateral orbitofrontal,ASD,-0.00277582,0.037630756,-0.073764657,0.94119765,not sig,0.000294302,0.000679967,0.432817888,0.665147077,not sig,CT,LMM_NOT_SIG,NA,NA
lh_lateralorbitofrontal,left,lateral orbitofrontal,BIP,-0.027427116,0.037643031,-0.728610735,0.46623981,not sig,0.000355579,0.000679673,0.523161003,0.600862216,not sig,CT,LMM_NOT_SIG,NA,NA
lh_lateralorbitofrontal,left,lateral orbitofrontal,MDD,-0.015455513,0.037690609,-0.410062715,0.681759943,not sig,0.000413207,0.00068108,0.606693178,0.54405455,not sig,CT,LMM_NOT_SIG,NA,NA
lh_lateralorbitofrontal,left,lateral orbitofrontal,SCZ,0.022676734,0.037795178,0.599990139,0.548512807,not sig,-0.000422088,0.000681356,-0.61948283,0.53559833,not sig,CT,LMM_NOT_SIG,NA,NA
lh_lateralorbitofrontal,left,lateral orbitofrontal,SUD,-0.009556383,0.037746625,-0.253171868,0.800135405,not sig,0.000221214,0.000684277,0.323282252,0.746481494,not sig,CT,LMM_NOT_SIG,NA,NA
lh_lingual,left,lingual,ADHD,-0.032090119,0.039228673,-0.818027119,0.413341702,not sig,0.00072636,0.000707609,1.026498853,0.304656504,not sig,CT,LMM_NOT_SIG,NA,NA
lh_lingual,left,lingual,ASD,-0.012173571,0.038927973,-0.312720392,0.754493102,not sig,0.000246105,0.000703397,0.34988091,0.726428074,not sig,CT,LMM_NOT_SIG,NA,NA
lh_lingual,left,lingual,BIP,-0.047142385,0.038943325,-1.210538259,0.226072419,not sig,0.000980243,0.000703097,1.394179595,0.163263378,not sig,CT,LMM_NOT_SIG,NA,NA
lh_lingual,left,lingual,MDD,-0.011321133,0.039000722,-0.290280078,0.771601978,not sig,0.000301459,0.000704708,0.427778131,0.66881266,not sig,CT,LMM_NOT_SIG,NA,NA
lh_lingual,left,lingual,SCZ,0.000479788,0.039096987,0.012271749,0.990208807,not sig,8.61E-05,0.000704779,0.122177244,0.902758648,not sig,CT,LMM_NOT_SIG,NA,NA
lh_lingual,left,lingual,SUD,-0.052771179,0.039047255,-1.351469629,0.176545042,not sig,0.000969345,0.000707789,1.369539403,0.170830727,not sig,CT,LMM_NOT_SIG,NA,NA
lh_medialorbitofrontal,left,medial orbitofrontal,ADHD,-0.054144112,0.039643016,-1.365791928,0.172004281,not sig,0.001048778,0.000715146,1.466521841,0.142506176,not sig,CT,LMM_NOT_SIG,NA,NA
lh_medialorbitofrontal,left,medial orbitofrontal,ASD,0.024763162,0.039349454,0.629313984,0.529143518,not sig,-0.000231888,0.000711023,-0.32613305,0.744323692,not sig,CT,LMM_NOT_SIG,NA,NA
lh_medialorbitofrontal,left,medial orbitofrontal,BIP,-0.011645778,0.03935919,-0.295884595,0.767318216,not sig,1.09E-07,0.000710663,0.000153533,0.999877498,not sig,CT,LMM_NOT_SIG,NA,NA
lh_medialorbitofrontal,left,medial orbitofrontal,MDD,0.001807273,0.039411042,0.045857032,0.963424202,not sig,-0.000119793,0.000712172,-0.16820757,0.866419986,not sig,CT,LMM_NOT_SIG,NA,NA
lh_medialorbitofrontal,left,medial orbitofrontal,SCZ,0.037968292,0.039515418,0.960847539,0.336628832,not sig,-0.000923162,0.000712371,-1.295901527,0.195009413,not sig,CT,LMM_NOT_SIG,NA,NA
lh_medialorbitofrontal,left,medial orbitofrontal,SUD,0.027757944,0.039467034,0.70331972,0.481856524,not sig,-0.000334693,0.000715469,-0.467795846,0.639930592,not sig,CT,LMM_NOT_SIG,NA,NA
lh_middletemporal,left,middle temporal,ADHD,-0.116183592,0.040299169,-2.883026954,0.003938737,sig,0.001986274,0.000726937,2.732387156,0.006287721,sig,CT,LMM_NOT_SIG,NA,NA
lh_middletemporal,left,middle temporal,ASD,-0.0701482,0.039995605,-1.753897699,0.079448038,not sig,0.001348863,0.000722692,1.866444015,0.06197927,not sig,CT,LMM_NOT_SIG,NA,NA
lh_middletemporal,left,middle temporal,BIP,-0.044812561,0.040012753,-1.119956938,0.262732113,not sig,0.000848036,0.000722421,1.173879662,0.24044323,not sig,CT,LMM_NOT_SIG,NA,NA
lh_middletemporal,left,middle temporal,MDD,0.029880731,0.040066663,0.745775378,0.455803116,not sig,-0.000705052,0.000723983,-0.973851276,0.330130389,not sig,CT,LMM_NOT_SIG,NA,NA
lh_middletemporal,left,middle temporal,SCZ,-0.009172203,0.040169948,-0.228334953,0.819385853,not sig,3.91E-05,0.000724135,0.054007029,0.956929564,not sig,CT,LMM_NOT_SIG,NA,NA
lh_middletemporal,left,middle temporal,SUD,-0.097999218,0.040108164,-2.443373322,0.014550677,sig,0.001404281,0.00072704,1.931504093,0.053420744,not sig,CT,LMM_SIG,0.001404281,not sig
lh_parahippocampal,left,parahippocampal,ADHD,0.04896733,0.041412227,1.18243651,0.237032544,not sig,-0.000848056,0.000746989,-1.135299197,0.256249978,not sig,CT,LMM_NOT_SIG,NA,NA
lh_parahippocampal,left,parahippocampal,ASD,0.031870958,0.041091878,0.775602365,0.437983803,not sig,-0.000577996,0.000742496,-0.778449437,0.436304104,not sig,CT,LMM_NOT_SIG,NA,NA
lh_parahippocampal,left,parahippocampal,BIP,-0.001678468,0.041111555,-0.040827165,0.967433683,not sig,5.24E-05,0.000742236,0.070590931,0.943723328,not sig,CT,LMM_NOT_SIG,NA,NA
lh_parahippocampal,left,parahippocampal,MDD,0.020013215,0.041169306,0.486119814,0.626882219,not sig,-0.000533927,0.000743887,-0.717753122,0.472909522,not sig,CT,LMM_NOT_SIG,NA,NA
lh_parahippocampal,left,parahippocampal,SCZ,-0.004828632,0.041271492,-0.116996784,0.906862602,not sig,0.000132946,0.000743972,0.178697068,0.858175571,not sig,CT,LMM_NOT_SIG,NA,NA
lh_parahippocampal,left,parahippocampal,SUD,0.009604851,0.041219633,0.23301641,0.815748663,not sig,-0.000211933,0.000747159,-0.283652287,0.776676863,not sig,CT,LMM_NOT_SIG,NA,NA
lh_paracentral,left,paracentral,ADHD,-0.000278476,0.037133439,-0.007499337,0.994016451,not sig,-7.01E-05,0.000669829,-0.10464178,0.916660061,not sig,CT,LMM_NOT_SIG,NA,NA
lh_paracentral,left,paracentral,ASD,-0.009154497,0.03684941,-0.248429947,0.803801765,not sig,0.00027334,0.000665842,0.410518684,0.681425501,not sig,CT,LMM_NOT_SIG,NA,NA
lh_paracentral,left,paracentral,BIP,-0.01608648,0.036864912,-0.436362906,0.662573447,not sig,0.000258808,0.000665585,0.38884324,0.697392112,not sig,CT,LMM_NOT_SIG,NA,NA
lh_paracentral,left,paracentral,MDD,0.020804572,0.036916139,0.563563054,0.573051537,not sig,-0.000435993,0.000667052,-0.653610839,0.513362559,not sig,CT,LMM_NOT_SIG,NA,NA
lh_paracentral,left,paracentral,SCZ,0.026373277,0.037008971,0.7126185,0.476081861,not sig,-0.000568433,0.00066715,-0.852030991,0.394196892,not sig,CT,LMM_NOT_SIG,NA,NA
lh_paracentral,left,paracentral,SUD,-0.016231143,0.036946229,-0.439317993,0.660431139,not sig,-0.00019665,0.00066972,-0.293630223,0.769040479,not sig,CT,LMM_SIG,-0.00019665,not sig
lh_parsopercularis,left,pars opercularis,ADHD,-0.058642389,0.035651289,-1.644888328,0.099992842,not sig,0.00109029,0.00064311,1.695339493,0.090011037,not sig,CT,LMM_NOT_SIG,NA,NA
lh_parsopercularis,left,pars opercularis,ASD,-0.033057983,0.035383697,-0.934271611,0.350163804,not sig,0.000650292,0.00063936,1.017098242,0.309106697,not sig,CT,LMM_NOT_SIG,NA,NA
lh_parsopercularis,left,pars opercularis,BIP,-0.02459492,0.03539617,-0.694846932,0.487151233,not sig,0.000431256,0.000639083,0.674805057,0.499799627,not sig,CT,LMM_NOT_SIG,NA,NA
lh_parsopercularis,left,pars opercularis,MDD,-0.00423022,0.035443778,-0.119350142,0.90499796,not sig,0.000116671,0.000640461,0.182167432,0.855451331,not sig,CT,LMM_NOT_SIG,NA,NA
lh_parsopercularis,left,pars opercularis,SCZ,-0.036057017,0.035536064,-1.014659848,0.310268,not sig,0.000620562,0.000640611,0.968701816,0.332693986,not sig,CT,LMM_NOT_SIG,NA,NA
lh_parsopercularis,left,pars opercularis,SUD,-0.057466841,0.035487709,-1.619344901,0.105373075,not sig,0.000856866,0.0006433,1.331984716,0.182865211,not sig,CT,LMM_NOT_SIG,NA,NA
lh_parsorbitalis,left,pars orbitalis,ADHD,0.013339188,0.038141846,0.349725806,0.726544485,not sig,-1.90E-05,0.000688038,-0.027546736,0.978023664,not sig,CT,LMM_NOT_SIG,NA,NA
lh_parsorbitalis,left,pars orbitalis,ASD,0.026635818,0.037855058,0.703626384,0.481665476,not sig,-0.000265007,0.000684016,-0.387427493,0.698439754,not sig,CT,LMM_NOT_SIG,NA,NA
lh_parsorbitalis,left,pars orbitalis,BIP,-0.083779896,0.037863324,-2.212692568,0.026918848,sig,0.001230666,0.000683629,1.800195648,0.071829751,not sig,CT,LMM_NOT_SIG,NA,NA
lh_parsorbitalis,left,pars orbitalis,MDD,0.006578394,0.037921607,0.173473512,0.862279247,not sig,-9.30E-05,0.000685236,-0.13571701,0.892045,not sig,CT,LMM_NOT_SIG,NA,NA
lh_parsorbitalis,left,pars orbitalis,SCZ,0.040217548,0.038014587,1.057950416,0.290078049,not sig,-0.001005344,0.000685293,-1.467027904,0.142368465,not sig,CT,LMM_NOT_SIG,NA,NA
lh_parsorbitalis,left,pars orbitalis,SUD,-0.005991229,0.037969335,-0.157791249,0.874621294,not sig,-0.000117995,0.000688287,-0.171433368,0.863883019,not sig,CT,LMM_NOT_SIG,NA,NA
lh_parstriangularis,left,pars triangularis,ADHD,-0.06113167,0.036576158,-1.671352967,0.09465198,not sig,0.001298743,0.000659787,1.968427347,0.049018888,sig,CT,LMM_NOT_SIG,NA,NA
lh_parstriangularis,left,pars triangularis,ASD,-0.008968405,0.036302622,-0.247045665,0.804872883,not sig,0.000286634,0.000655963,0.43696658,0.662135585,not sig,CT,LMM_NOT_SIG,NA,NA
lh_parstriangularis,left,pars triangularis,BIP,-0.083533709,0.036313888,-2.30032404,0.021429869,sig,0.001524864,0.000655646,2.325743142,0.020032257,sig,CT,LMM_NOT_SIG,NA,NA
lh_parstriangularis,left,pars triangularis,MDD,0.035583405,0.036365703,0.978488032,0.327833008,not sig,-0.000578432,0.000657115,-0.880261047,0.378717909,not sig,CT,LMM_NOT_SIG,NA,NA
lh_parstriangularis,left,pars triangularis,SCZ,-0.026377952,0.036460133,-0.723473835,0.469388824,not sig,0.000494252,0.000657265,0.751983843,0.452060775,not sig,CT,LMM_NOT_SIG,NA,NA
lh_parstriangularis,left,pars triangularis,SUD,-0.053705882,0.036411401,-1.474974318,0.140219448,not sig,0.000819237,0.000660037,1.241198369,0.214532477,not sig,CT,LMM_NOT_SIG,NA,NA
lh_pericalcarine,left,pericalcarine,ADHD,0.039577698,0.03854979,1.026664406,0.304578515,not sig,-0.000617026,0.000695379,-0.887323917,0.374904532,not sig,CT,LMM_NOT_SIG,NA,NA
lh_pericalcarine,left,pericalcarine,ASD,0.000472369,0.038256479,0.012347434,0.990148423,not sig,6.65E-05,0.000691266,0.096211064,0.923352943,not sig,CT,LMM_NOT_SIG,NA,NA
lh_pericalcarine,left,pericalcarine,BIP,-0.025400147,0.038271485,-0.663683335,0.506893007,not sig,0.000382357,0.000690981,0.553353693,0.580021241,not sig,CT,LMM_NOT_SIG,NA,NA
lh_pericalcarine,left,pericalcarine,MDD,-0.020222931,0.038325173,-0.527667046,0.59773045,not sig,0.000394233,0.000692513,0.569278244,0.569167329,not sig,CT,LMM_NOT_SIG,NA,NA
lh_pericalcarine,left,pericalcarine,SCZ,0.000601669,0.038422459,0.015659308,0.987506191,not sig,3.35E-05,0.000692631,0.048431449,0.961372396,not sig,CT,LMM_NOT_SIG,NA,NA
lh_pericalcarine,left,pericalcarine,SUD,-0.047351914,0.038371998,-1.234022632,0.217194471,not sig,0.000736302,0.000695566,1.058565404,0.28979775,not sig,CT,LMM_NOT_SIG,NA,NA
lh_postcentral,left,postcentral,ADHD,-0.04381353,0.035327806,-1.240199577,0.214901585,not sig,0.000928918,0.000637272,1.457648182,0.144937542,not sig,CT,LMM_NOT_SIG,NA,NA
lh_postcentral,left,postcentral,ASD,-0.041662025,0.035060538,-1.188288244,0.234719868,not sig,0.000914374,0.00063352,1.443323467,0.148929372,not sig,CT,LMM_NOT_SIG,NA,NA
lh_postcentral,left,postcentral,BIP,0.001687398,0.035075524,0.048107564,0.961630518,not sig,-7.73E-05,0.00063329,-0.122039645,0.902867621,not sig,CT,LMM_NOT_SIG,NA,NA
lh_postcentral,left,postcentral,MDD,0.006071672,0.035123091,0.17286839,0.862754879,not sig,-0.000103655,0.000634664,-0.163322929,0.870264182,not sig,CT,LMM_NOT_SIG,NA,NA
lh_postcentral,left,postcentral,SCZ,0.008948967,0.035214427,0.25412787,0.799396773,not sig,-0.000171151,0.000634811,-0.269610005,0.787460302,not sig,CT,LMM_NOT_SIG,NA,NA
lh_postcentral,left,postcentral,SUD,-0.032953122,0.035163166,-0.937148881,0.348681981,not sig,0.000313569,0.000637414,0.491938726,0.62276266,not sig,CT,LMM_NOT_SIG,NA,NA
lh_posteriorcingulate,left,posterior cingulate,ADHD,-0.03256988,0.040695923,-0.800322915,0.42352373,not sig,0.000660635,0.000734086,0.899942819,0.368150682,not sig,CT,LMM_NOT_SIG,NA,NA
lh_posteriorcingulate,left,posterior cingulate,ASD,0.035470276,0.040382558,0.878356337,0.379750372,not sig,-0.000459817,0.000729682,-0.630160065,0.528589864,not sig,CT,LMM_NOT_SIG,NA,NA
lh_posteriorcingulate,left,posterior cingulate,BIP,0.022258562,0.040401658,0.550931889,0.581680366,not sig,-0.00036966,0.000729435,-0.506775482,0.612312361,not sig,CT,LMM_NOT_SIG,NA,NA
lh_posteriorcingulate,left,posterior cingulate,MDD,0.087669149,0.040453049,2.167182747,0.030220922,sig,-0.001774068,0.000730958,-2.427044272,0.015222398,sig,CT,LMM_NOT_SIG,NA,NA
lh_posteriorcingulate,left,posterior cingulate,SCZ,0.094778025,0.040555805,2.336978023,0.019440327,sig,-0.001820544,0.000731084,-2.490197322,0.012767219,sig,CT,LMM_NOT_SIG,NA,NA
lh_posteriorcingulate,left,posterior cingulate,SUD,-0.113120316,0.040498221,-2.793216935,0.005218668,sig,0.001727742,0.000734101,2.353546282,0.018595293,sig,CT,LMM_NOT_SIG,NA,NA
lh_precentral,left,precentral,ADHD,-0.037436545,0.035453037,-1.055947493,0.290992204,not sig,0.000732368,0.000639537,1.145153629,0.252145523,not sig,CT,LMM_NOT_SIG,NA,NA
